t x y z Vx Vy Vz
0 -3969276.618175562 4908593.461306889 2449135.3994812635 -1841.6833088457008 -4472.092265174332 5961.454863695935
60 -4070534.85 4629138.45953 2800870.79492 -1532.29983827 -4839.48515399 5758.54551052
120 -4153012.0703 4328302.58747 3139629.19393 -1215.89097837 -5184.51432222 5529.05689148
180 -4216330.49659 4007475.84553 3463847.39227 -893.919390164 -5505.59202741 5274.06069834
240 -4260200.87 3668140.14958 3772030.02651 -567.872005418 -5801.24346548 4994.74563192
300 -4284423.68903 3311862.33564 4062756.40581 -239.252513612 -6070.1137812 4692.41088763
360 -4288889.98581 2940286.7998 4334686.92254 90.4261908705 -6310.97318871 4368.45882458
420 -4273581.67144 2555127.88088 4586569.03104 419.648747237 -6522.72060701 4024.38808428
480 -4238571.50181 2158162.03378 4817242.8408 746.903337024 -6704.38723524 3661.78756214
540 -4184022.68594 1751219.7676 5025646.35314 1070.6877127 -6855.1408163 3282.33034803
600 -4110188.12042 1336177.32055 5210820.30736 1389.51563552 -6974.28997902 2887.7666803
660 -4017409.231 914948.095278 5371912.57305 1701.92346057 -7061.28778986 2479.91595334
720 -3906114.42246 489473.908283 5508182.04953 2006.47660446 -7115.73445452 2060.6583565
780 -3776817.14088 61716.0940922 5619002.05714 2301.77603363 -7137.37947956 1631.92626253
840 -3630113.54282 -366353.4994 5703863.19774 2586.46486197 -7126.12303998 1195.69512736
900 -3466679.77379 -792761.559404 5762375.65991 2859.23467995 -7082.01602593 753.974199502
960 -3287268.88606 -1215542.32449 5794270.98138 3118.83123708 -7005.25906902 308.797828128
1020 -3092707.42925 -1632746.53919 5799403.31311 3364.05976643 -6896.20163591 -137.782558734
1080 -2883891.71572 -2042450.37016 5777750.19516 3593.79058059 -6755.341591 -583.706945997
1140 -2661783.74045 -2442764.2858 5729412.78061 3806.96489293 -6583.32415282 -1026.91669071
1200 -2427406.76633 -2831841.82075 5654615.43042 4002.59998742 -6380.93899413 -1465.36526494
1260 -2181840.6354 -3207888.11454 5553704.6856 4179.79319025 -6149.1158273 -1897.02799973
1320 -1926216.86288 -3569168.18042 5427147.70689 4337.72534211 -5888.92008982 -2319.91016372
1380 -1661713.50712 -3914014.94195 5275530.24827 4475.66494185 -5601.54947381 -2732.05477324
1440 -1389549.76511 -4240837.06 5099554.12241 4592.97301366 -5288.33008828 -3131.5518948
1500 -1110980.286 -4548126.47386 4900034.05964 4689.10737591 -4950.71059114 -3516.54935571
1560 -827289.278684 -4834465.52394 4677893.92648 4763.62515115 -4590.25428279 -3885.26303581
1620 -539784.516245 -5098533.57764 4434162.37847 4816.18388733 -4208.63075434 -4235.98534733
1680 -249791.280687 -5339113.17452 4169968.05128 4846.5426393 -3807.60827826 -4567.09235817
1740 41353.7757611 -5555095.72913 3886534.33 4854.5636535 -3389.04648526 -4877.05092619
1800 332308.873284 -5745486.77334 3585173.67327 4840.21396093 -2954.88818605 -5164.42637698
1860 621733.414183 -5909410.67224 3267281.47432 4803.56591768 -2507.15006088 -5427.89012004
1920 908294.289792 -6046114.76243 2934329.48404 4744.79665364 -2047.91282674 -5666.22658366
1980 1190672.13824 -6154972.89419 2587858.83824 4664.18709537 -1579.31117437 -5878.33952459
2040 1467567.53987 -6235488.35193 2229472.72002 4562.12083733 -1103.52300087 -6063.2578616
2100 1737707.12928 -6287296.09799 1860828.69605 4439.08237926 -622.757656709 -6220.14059398
2160 1999849.56931 -6310164.29807 1483630.80161 4295.65426262 -139.243952621 -6348.28020173
2220 2252791.32486 -6303995.1495 1099621.46566 4132.51336268 344.78094788 -6447.10468749
2280 2495372.20547 -6268825.07778 710573.331756 3950.42697987 827.081556985 -6516.17917044
2340 2726480.67426 -6204824.34212 318280.97937 3750.24893186 1305.43392663 -6555.20762769
2400 2945058.91329 -6112296.0313 -75447.455053 3532.91526051 1777.63616057 -6564.03435279
2460 3150107.61077 -5991674.4139 -468798.713564 3299.43924508 2241.51928737 -6542.64426285
2520 3340690.43338 -5843522.64914 -859962.82802 3050.90597701 2694.95755051 -6491.16183585
2580 3515938.17257 -5668529.91108 -1247141.44119 2788.46697639 3135.87769192 -6409.84930324
2640 3675052.57236 -5467507.97553 -1628556.01429 2513.33492271 3562.26769681 -6299.10472463
2700 3817309.83508 -5241387.28216 -2002455.91511 2226.7781096 3972.18559833 -6159.45985911
2760 3942063.77732 -4991212.46605 -2367126.35866 1930.11431854 4363.76829199 -5991.5772921
2820 4048748.60418 -4718137.37383 -2720896.14545 1624.70428536 4735.239803 -5796.24657114
2880 4136881.29031 -4423419.61035 -3062145.145 1311.94519569 5084.91865321 -5574.37966185
2940 4206063.57824 -4108414.66712 -3389311.49787 993.26443844 5411.22450054 -5327.00616026
3000 4255983.60729 -3774569.66464 -3700898.5265 670.113497001 5712.68441269 -5055.26835392
3060 4286417.17412 -3423416.72599 -3995481.33989 343.961752321 5987.93887315 -4760.4159111
3120 4297228.61638 -3056566.00298 -4271713.10359 16.2901170692 6235.74730544 -4443.80003151
3180 4288371.31108 -2675698.39195 -4528330.94472 -311.41541767 6454.99286848 -4106.86716441
3240 4259887.78661 -2282557.98503 -4764161.47363 -637.670188207 6644.68649496 -3751.15255774
3300 4211909.45471 -1878944.29674 -4978125.91806 -960.997102083 6803.97039746 -3378.27379902
3360 4144655.97436 -1466704.28816 -5169244.86776 -1279.93266399 6932.1213512 -2989.92424916
3420 4058434.25997 -1047724.19694 -5336642.61492 -1593.032819 7028.55387776 -2587.86609276
3480 3953637.1419 -623921.183974 -5479551.06129 -1898.87871521 7092.82311008 -2173.92283816
3540 3830741.68152 -197234.827536 -5597313.16248 -2196.08246768 7124.62695839 -1749.97145303
3600 3690307.13956 230381.487387 -5689385.89991 -2483.29295115 7123.80745642 -1317.93454948
3660 3532972.59537 656969.242781 -5755342.79094 -2759.20165414 7090.35158503 -879.772784718
3720 3359454.21184 1080573.50376 -5794875.94124 -3022.54863753 7024.39188589 -437.477110215
3780 3170542.14143 1499251.66246 -5807797.61388 -3272.12850218 6926.20669834 6.93965182379
3840 2967097.08151 1911082.17201 -5794041.27123 -3506.79604726 6796.2195185 451.451881641
3900 2750046.50783 2314173.21067 -5753662.06915 -3725.47131377 6634.99735058 894.030218203
3960 2520380.623 2706671.22932 -5686836.8236 -3927.14409489 6443.24859031 1332.65005782
4020 2279148.03915 3086769.3733 -5593863.4788 -4110.87836938 6221.82099636 1765.29978913
4080 2027451.1877 3452715.7816 -5475160.06927 -4275.81697998 5971.69951197 2189.98954272
4140 1766441.44526 3802821.72997 -5331263.13322 -4421.18633442 5694.00311036 2604.76068258
4200 1497313.98975 4135469.54383 -5162825.54939 -4546.30062697 5389.98029998 3007.69538335
4260 1221302.42304 4449120.2141 -4970613.81521 -4650.56542291 5061.00386074 3396.92563119
4320 939673.190103 4742320.69281 -4755504.79867 -4733.48092588 4708.56548527 3770.64187537
4380 653719.80434 5013710.86081 -4518481.9626 -4794.64516733 4334.27008363 4127.10206583
4440 364756.890275 5262030.12114 -4260631.03061 -4833.75681941 3939.82886219 4464.64113647
4500 74114.081961 5486123.53028 -3983135.0927 -4850.61712896 3527.05089846 4781.68001066
4560 -216870.165886 5684947.39792 -3687269.20785 -4845.13094673 3097.83404668 5076.73330516
4620 -506854.813426 5857574.3468 -3374394.57877 -4817.30734678 2654.15612188 5348.41603221
4680 -794502.505788 6003197.85265 -3045952.32992 -4767.26016236 2198.06627585 5595.45026422
4740 -1078485.86673 6121136.25128 -2703456.87589 -4695.2081472 1731.67572756 5816.67207776
4800 -1357493.7782 6210836.15922 -2348488.88054 -4601.47429589 1257.14751373 6011.03809938
4860 -1630237.5935 6271875.26322 -1982687.8532 -4486.48437421 776.685835729 6177.63102046
4920 -1895457.25067 6303964.47302 -1607744.44003 -4350.76513404 292.525494133 6315.66435926
4980 -2151927.27392 6306949.43342 -1225392.43595 -4194.94232405 -193.079043762 6424.48706464
5040 -2398462.63595 6280811.3494 -837400.528999 -4019.73790695 -677.865674573 6503.58768388
5100 -2633924.41299 6225667.06172 -445563.835674 -3825.96589453 -1159.57742133 6552.5969757
5160 -2857225.15334 6141768.37273 -51695.3438145 -3614.52709799 -1635.97438245 6571.28840387
5220 -3067333.92449 6029500.7118 342382.630575 -3386.4038519 -2104.84373542 6559.57743895
5280 -3263281.0639 5889381.24707 734846.948861 -3142.65545082 -2564.00845295 6517.52121215
5340 -3444162.67099 5722056.46678 1123882.16053 -2884.41393729 -3011.33656303 6445.31895732
5400 -3609144.83063 5528299.15867 1507689.03752 -2612.87919416 -3444.75196494 6343.31208182
5460 -3757467.50345 5309004.71248 1884493.06367 -2329.31272555 -3862.24588783 6211.98243441
5520 -3888448.01194 5065186.76272 2252552.75832 -2035.0305501 -4261.88714503 6051.94862925
5580 -4001484.09875 4797972.27848 2610167.74964 -1731.39621253 -4641.83032227 5863.96162234
5640 -4096056.58702 4508596.20517 2955686.59135 -1419.81453887 -5000.32277558 5648.90069052
5700 -4171731.68385 4198395.68329 3287514.35201 -1101.72587257 -5335.71194155 5407.76975031
5760 -4228162.9324 3868803.80307 3604119.9692 -778.599993022 -5646.45344034 5141.69302676
5820 -4265092.77435 3521342.8707 3904043.30521 -451.929176325 -5931.11902345 4851.90940468
5880 -4282353.67321 3157617.23467 4185901.83116 -123.220581623 -6188.40314618 4539.76582904
5940 -4279868.77675 2779305.76671 4448396.90792 206.011381617 -6417.12799291 4206.71057268
6000 -4257652.13456 2388154.06694 4690319.66668 534.252207806 -6616.24781658 3854.28657719
6060 -4215808.50192 1985966.40986 4910556.47819 859.993962865 -6784.85326722 3484.12427989
6120 -4154532.75196 1574597.43784 5108093.96322 1181.74171499 -6922.17534555 3097.93348842
6180 -4074108.9056 1155943.64997 5282023.49776 1498.01984117 -7027.58816799 2697.49483747
6240 -3974908.78861 731934.764484 5431545.22033 1807.37813164 -7100.61051247 2284.6518821
6300 -3857390.32941 304525.001599 5555971.59501 2108.39767935 -7140.90712945 1861.30413585
6360 -3722095.5056 -124315.729951 5654730.56407 2399.69674068 -7148.29070394 1429.40013149
6420 -3569647.93375 -552610.779827 5727368.25348 2679.93679173 -7122.7241943 990.929311033
6480 -3400750.08793 -978385.826016 5773551.14792 2947.82884239 -7064.32238602 547.912526763
6540 -3216180.13458 -1399677.99007 5793067.67386 3202.13987382 -6973.35177709 102.391986178
6600 -3016788.38453 -1814544.89483 5785829.18647 3441.69909903 -6850.22885927 -343.578461934
6660 -2803493.38538 -2221073.58777 5751870.39162 3665.40361373 -6695.51748756 -787.942459434
6720 -2577277.70234 -2617389.29748 5691349.23219 3872.22310723 -6509.92605294 -1228.64991156
6780 -2339183.44169 -3001664.02636 5604546.25203 4061.20382214 -6294.3048818 -1663.66566609
6840 -2090307.54073 -3372124.9938 5491863.43461 4231.47252011 -6049.64379171 -2090.97841163
6900 -1831796.80207 -3727062.92078 5353822.491 4382.2410837 -5777.06907697 -2508.61018912
6960 -1564842.63745 -4064840.09058 5191062.55608 4512.81145921 -5477.83892524 -2914.62655041
7020 -1290675.53048 -4383898.0772 5004337.27156 4622.57990328 -5153.33697632 -3307.14668131
7080 -1010559.28447 -4682765.05165 4794511.28511 4711.03988275 -4805.0649149 -3684.35264699
7140 -725785.128191 -4960062.64534 4562556.22463 4777.78404757 -4434.63523397 -4044.49772087
7200 -437665.7101 -5214512.38854 4309546.18261 4822.50607502 -4043.76419855 -4385.91451627
7260 -147528.981803 -5444941.70871 4036652.70796 4845.00243768 -3634.26404075 -4707.02322798
7320 143288.006145 -5650289.42378 3745139.31624 4845.17345317 -3208.03399014 -5006.33928093
7380 433445.342362 -5829610.68463 3436355.57784 4823.02341958 -2767.05110888 -5282.47973205
7440 721606.490543 -5982081.38954 3111730.84593 4778.66056522 -2313.36190751 -5534.16910564
7500 1006444.5344 -6107002.1052 2772767.61449 4712.29740826 -1849.07399771 -5760.24607657
7560 1286648.44283 -6203801.43982 2421034.44123 4624.25085372 -1376.34589481 -5959.67112179
7620 1560929.2979 -6272038.72862 2058158.42604 4514.94066811 -897.374425773 -6131.53328874
7680 1828026.37033 -6311405.93549 1685817.36119 4384.88602157 -414.381642511 -6275.05419692
7740 2086712.95964 -6321728.81698 1305731.72269 4234.70139528 70.3964210525 -6389.58959812
7800 2335802.00793 -6302967.47663 919656.588528 4065.09325696 554.719050848 -6474.63063216
7860 2574151.53784 -6255216.3697 529373.451027 3876.85735481 1036.35026053 -6529.80613602
7920 2800669.91267 -6178703.6971 136681.876958 3670.87525843 1513.06980764 -6554.88511259
7980 3014320.84298 -6073790.10536 -256608.939403 3448.10936706 1982.68501098 -6549.77760234
8040 3214128.06284 -5940966.70155 -648688.613043 3209.59709707 2443.04150963 -6514.53357807
8100 3399179.66317 -5780852.47377 -1037753.90834 2956.44540783 2892.03239508 -6449.34108202
8160 3568632.11453 -5594191.18695 -1422016.97449 2689.82583836 3327.60681054 -6354.52466914
8220 3721713.98809 -5381847.74971 -1799713.49207 2410.96926195 3747.77905097 -6230.54384773
8280 3857729.33725 -5144804.0249 -2169110.70097 2121.15980467 4150.63785827 -6077.9905553
8340 3976060.69647 -4884154.10175 -2528515.23865 1821.72828063 4534.35492778 -5897.58540303
8400 4076171.68928 -4601099.09227 -2876280.73018 1514.04581764 4897.19229963 -5690.17328768
8460 4157609.2653 -4296941.50566 -3210815.1113 1199.51783395 5237.50913687 -5456.71892093
8520 4220005.57804 -3973079.22219 -3530587.68047 879.578018405 5553.76832633 -5198.30221618
8580 4263079.49439 -3630999.07887 -3834135.86187 555.682067724 5844.54275433 -4916.11323077
8640 4286637.72398 -3272270.09694 -4120071.65002 229.301320456 6108.52094223 -4611.44663188
8700 4290575.56954 -2898536.39045 -4387087.71259 -98.0834821918 6344.51207747 -4285.69586987
8760 4274877.30743 -2511509.78422 -4633963.13707 -424.988315053 6551.45071299 -3940.34712058
8820 4239616.1998 -2112962.15667 -4859568.80424 -749.932052726 6728.40122354 -3576.97288118
8880 4184954.13091 -1704717.5273 -5062872.36437 -1071.44282297 6874.56181258 -3197.22512913
8940 4111140.85909 -1288643.9244 -5242942.79081 -1388.06442284 6989.2677938 -2802.82809051
9000 4018512.88826 -866645.081314 -5398954.49156 -1698.3625437 7071.99402153 -2395.57077846
9060 3907491.97751 -440652.009722 -5530190.9724 -2000.93058642 7122.3566094 -1977.29954438
9120 3778583.31406 -12614.4811652 -5636048.05858 -2294.39510517 7140.11435595 -1549.9108259
9180 3632373.36205 415507.579919 -5716036.68428 -2577.42124469 7125.17031517 -1115.34391962
9240 3469527.37483 841752.802202 -5769785.23502 -2848.71856406 7077.57345575 -675.573196687
9300 3290786.54585 1264167.15847 -5797041.39354 -3107.04719584 6997.51967979 -232.599316782
9360 3096964.79341 1680812.77771 -5797673.43497 -3351.2237839 6885.3514286 211.560213282
9420 2888945.20933 2089776.68999 -5771670.95975 -3580.1267074 6741.55593231 654.880173248
9480 2667676.214 2489179.44684 -5719145.10468 -3792.70072248 6566.76298399 1095.33588525
9540 2434167.4363 2877183.61379 -5640328.2754 -3987.96158258 6361.7429442 1530.91105726
9600 2189485.30878 3252002.14637 -5535573.39701 -4165.00089813 6127.4047481 1959.60613089
9660 1934748.37128 3611906.62797 -5405352.63879 -4322.99090863 5864.79317801 2379.44742789
9720 1671122.30198 3955235.31249 -5250255.57827 -4461.18876628 5575.0851007 2788.49657884
9780 1399814.70563 4280400.91725 -5070986.80531 -4578.94039199 5259.58497282 3184.8597142
9840 1122069.67529 4585898.13125 -4868362.98166 -4675.68420458 4919.71984607 3566.6964826
9900 839162.134082 4870310.80386 -4643309.35668 -4750.95467058 4557.03364999 3932.22918208
9960 552391.980134 5132318.76198 -4396855.73289 -4804.38524288 4173.18051749 4279.75191724
10020 263078.080273 5370704.20184 -4130131.89058 -4835.710471 3769.91734258 4607.63942099
10080 -27447.8444544 5584357.6193 -3844362.4973 -4844.76757111 3349.09585922 4914.35541299
10140 -317847.420309 5772283.24837 -3540861.5266 -4831.49777659 2912.65411241 5198.46061569
10200 -606781.893871 5933603.96116 -3221026.20741 -4795.94730151 2462.60700631 5458.62033495
10260 -892918.440073 6067565.57583 -2886330.54119 -4738.26748719 2001.03611428 5693.61122232
10320 -1174936.45144 6173540.54825 -2538318.44283 -4658.7140675 1530.07944206 5902.32708542
10380 -1451533.76622 6251031.05949 -2178596.55187 -4557.64594275 1051.92152183 6083.78415569
10440 -1721432.81653 6299671.51007 -1808826.73197 -4435.52374998 568.78342689 6237.1262553
10500 -1983386.68108 6319230.39623 -1430718.2651 -4292.90804994 82.9120904156 6361.62972139
10560 -2236185.00841 6309611.52213 -1046019.77169 -4130.45678085 -403.431090994 6456.70753211
10620 -2478659.76253 6270854.51948 -656510.916176 -3948.92190237 -887.981848336 6521.91232203
10680 -2709690.74764 6203134.6773 -263993.962515 -3749.14542833 -1368.4844106 6556.93840442
10740 -2928210.88223 6106762.09835 129714.766458 -3532.05507447 -1842.70257881 6561.62297162
10800 -3133211.20525 5982180.19991 522793.478451 -3298.65970535 -2308.43050665 6535.94653029
10860 -3323745.60617 5829963.5757 913423.50796 -3050.04468923 -2763.50324249 6480.03273738
10920 -3498935.26929 5650815.22502 1299797.89038 -2787.36693357 -3205.80735021 6394.14783345
10980 -3657972.79517 5445563.13483 1680129.88455 -2511.84897728 -3633.29184294 6278.69938699
11040 -3800125.92842 5215156.20932 2052661.38066 -2224.77179989 -4043.97880936 6134.23361415
11100 -3924740.83149 4960659.60384 2415671.09719 -1927.46709515 -4435.97244212 5961.43110333
11160 -4031244.91522 4683249.58066 2767482.49753 -1621.31044194 -4807.46602908 5761.10199391
11220 -4119149.30502 4384207.97602 3106471.43462 -1307.71593606 -5156.74825201 5534.18185807
11280 -4188051.00432 4064916.26324 3431073.57 -988.131187269 -5482.21054059 5281.72811746
11340 -4237634.72898 3726849.13878 3739791.55818 -664.031179271 -5782.35540963 5004.91556128
11400 -4267674.33214 3371567.62361 4031201.91253 -336.910904475 -6055.80394283 4705.03024568
11460 -4278033.78145 3000711.77442 4303961.47948 -8.27802979529 -6301.30132575 4383.46280421
11520 -4268667.71935 2615993.09742 4556813.52791 320.353673675 -6517.72153362 4041.70240084
11580 -4239621.6353 2219186.66461 4788593.48716 647.470906319 -6704.07269346 3681.33082828
11640 -4191031.61691 1812122.89532 4998234.29526 971.568358825 -6859.50258685 3304.01520049
11700 -4123123.63089 1396679.0535 5184771.25596 1291.15664748 -6983.30234291 2911.49905668
11760 -4036212.35196 974770.595265 5347346.3547 1604.76924778 -7074.90790286 2505.59354398
11820 -3930699.61872 548342.44975 5485212.0817 1910.9680956 -7133.90117617 2088.16981209
11880 -3807072.56551 119360.195961 5597734.81168 2208.34902742 -7160.01239016 1661.15151143
11940 -3665901.40663 -310198.912908 5684397.69216 2495.54794788 -7153.12243443 1226.50577659
12000 -3507836.84219 -738355.008593 5744802.95313 2771.24707088 -7113.26307014 786.233273332
12060 -3333607.1148 -1163134.61416 5778673.64788 3034.18023735 -7040.61527858 342.359517374
